   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
              1        367021.015        24826930.110        24826939.575        51
              7        367021.015        24719887.544        24719906.151        49
             30        367021.015        25935082.402        25935079.700        49
             11        367021.015        24802687.688        24802697.222        48
              8        367021.015        27145112.418        27145117.890        47
             28        367021.015        28788294.222        28788316.386        42
             17        367021.015        28820021.031        28820037.140        42
             22        367021.015        28361324.532        28361352.354        41
              9        367021.015        29021819.298        29021819.399        41
              3        367021.015        29201211.891        29201215.622        41
             16        367021.015        29529618.238        29529614.167        39
             27        367021.015        29685906.095        29685933.918        38
            156        367021.015        40389975.442        40390005.560        48
             39        367021.015        26830767.984        26830781.098        47
            150        367021.015        41619915.333        41619925.161        44
             38        367021.015        30644320.444        30644324.631        33
             23        367021.015        29683215.265        29683214.505        40
              1        367022.015        24845072.734        24845082.195        51
              7        367022.015        24738139.756        24738158.353        49
             30        367022.015        25953005.550        25953002.833        49
             11        367022.015        24821092.764        24821102.282        48
              8        367022.015        27163804.045        27163809.554        47
             28        367022.015        28806199.294        28806221.399        42
             17        367022.015        28837979.376        28837995.514        42
             22        367022.015        28379279.272        28379307.116        41
              9        367022.015        29040512.512        29040512.614        41
              3        367022.015        29219078.816        29219082.588        41
             16        367022.015        29548270.485        29548266.339        39
             27        367022.015        29704677.796        29704705.562        38
            156        367022.015        40408296.739        40408326.856        48
             39        367022.015        26849017.959        26849031.070        47
            150        367022.015        41638206.313        41638216.110        44
             38        367022.015        30662226.163        30662230.193        33
             23        367022.015        29701911.514        29701910.745        40
              1        367023.015        24863215.147        24863224.620        51
              7        367023.015        24756391.774        24756410.359        49
             30        367023.015        25970928.467        25970925.735        49
             11        367023.015        24839497.610        24839507.125        48
              8        367023.015        27182495.378        27182500.892        47
             28        367023.015        28824103.999        28824126.044        42
             17        367023.015        28855937.458        28855953.598        42
             22        367023.015        28397233.690        28397261.561        41
              9        367023.015        29059205.367        29059205.464        41
              3        367023.015        29236945.380        29236949.187        41
             16        367023.015        29566922.428        29566918.225        39
             27        367023.015        29723449.145        29723476.846        38
            156        367023.015        40426617.737        40426647.861        48
             39        367023.015        26867267.674        26867280.778        47
            150        367023.015        41656496.976        41656506.736        44
             38        367023.015        30680131.657        30680135.447        33
             23        367023.015        29720607.446        29720606.598        40
              1        367024.015        24881357.832        24881367.318        51
              7        367024.015        24774644.052        24774662.639        49
             30        367024.015        25988851.601        25988848.887        49
             11        367024.015        24857902.697        24857912.222        48
              8        367024.015        27201186.829        27201192.370        47
             28        367024.015        28842008.836        28842030.815        42
             17        367024.015        28873895.694        28873911.869        42
             22        367024.015        28415188.246        28415216.161        41
              9        367024.015        29077898.307        29077898.435        41
              3        367024.015        29254812.073        29254815.895        41
             16        367024.015        29585574.539        29585570.282        39
             27        367024.015        29742220.622        29742248.239        38
            156        367024.015        40444938.879        40444969.031        48
             39        367024.015        26885517.508        26885530.680        47
            150        367024.015        41674787.805        41674797.515        44
             38        367024.015        30698037.310        30698040.913        33
             23        367024.015        29739303.458        29739302.545        40
              1        367025.016        24899500.679        24899510.160        51
              7        367025.016        24792896.485        24792915.072        49
             30        367025.016        26006774.868        26006772.159        49
             11        367025.016        24876307.924        24876317.453        48
              8        367025.016        27219878.313        27219883.872        47
             28        367025.016        28859913.638        28859935.583        42
             17        367025.016        28891854.057        28891870.219        42
             22        367025.016        28433142.844        28433170.787        41
              9        367025.016        29096591.288        29096591.401        41
              3        367025.016        29272678.753        29272682.595        41
             16        367025.016        29604226.641        29604222.390        39
             27        367025.016        29760992.086        29761019.636        38
            156        367025.016        40463260.105        40463290.259        48
             39        367025.016        26903767.463        26903780.661        47
            150        367025.016        41693078.633        41693088.305        44
             38        367025.016        30715943.072        30715946.425        33
             23        367025.016        29757999.373        29757998.452        40
              1        367026.016        24917643.586        24917653.088        51
              7        367026.016        24811149.032        24811167.593        49
             30        367026.016        26024698.161        26024695.482        49
             11        367026.016        24894713.237        24894722.747        48
              8        367026.016        27238569.712        27238575.322        47
             28        367026.016        28877818.330        28877840.266        42
             17        367026.016        28909812.444        28909828.561        42
             22        367026.016        28451097.365        28451125.375        41
              9        367026.016        29115284.161        29115284.291        41
              3        367026.016        29290545.373        29290549.215        40
             16        367026.016        29622878.679        29622874.487        39
             27        367026.016        29779763.380        29779790.953        38
            156        367026.016        40481581.321        40481611.468        48
             39        367026.016        26922017.436        26922030.640        47
            150        367026.016        41711369.392        41711379.051        44
             38        367026.016        30733848.841        30733851.947        33
             23        367026.016        29776695.171        29776694.258        40
              1        367027.016        24935786.743        24935796.278        51
              7        367027.016        24829401.818        24829420.374        49
             30        367027.016        26042621.685        26042619.043        49
             11        367027.016        24913118.801        24913128.285        48
              8        367027.016        27257261.237        27257266.912        46
             28        367027.016        28895723.115        28895745.056        42
             17        367027.016        28927770.995        28927787.083        42
              9        367027.016        29133977.198        29133977.287        41
             22        367027.016        28469052.038        28469080.107        41
              3        367027.016        29308412.139        29308415.919        40
             16        367027.016        29641530.907        29641526.750        39
             27        367027.016        29798534.756        29798562.372        38
            156        367027.016        40499902.696        40499932.840        48
             39        367027.016        26940267.614        26940280.816        47
            150        367027.016        41729660.291        41729669.945        44
             38        367027.016        30751754.725        30751757.643        33
             23        367027.016        29795391.014        29795390.148        40
              1        367028.016        24953930.078        24953939.648        51
              7        367028.016        24847654.806        24847673.337        49
             30        367028.016        26060545.352        26060542.754        49
             11        367028.016        24931524.517        24931533.986        48
              8        367028.016        27275952.779        27275958.548        46
             28        367028.016        28913627.934        28913649.876        42
             17        367028.016        28945729.643        28945745.699        42
              9        367028.016        29152670.244        29152670.310        41
             22        367028.016        28487006.821        28487034.899        41
              3        367028.016        29326278.899        29326282.655        40
             16        367028.016        29660183.246        29660179.093        39
             27        367028.016        29817306.141        29817333.831        38
            156        367028.016        40518224.156        40518254.291        48
             39        367028.016        26958517.870        26958531.092        47
            150        367028.016        41747951.084        41747960.880        45
             38        367028.016        30769660.619        30769663.427        33
             23        367028.016        29814087.004        29814086.032        40
              1        367029.016        24972073.309        24972082.892        51
              7        367029.016        24865907.687        24865926.181        49
             30        367029.016        26078468.855        26078466.311        49
             11        367029.016        24949930.073        24949939.545        48
              8        367029.016        27294644.087        27294649.932        46
             28        367029.016        28931532.481        28931554.417        42
             17        367029.016        28963688.082        28963704.108        42
              9        367029.016        29171363.014        29171363.057        41
             22        367029.016        28504961.417        28504989.445        41
              3        367029.016        29344145.333        29344149.097        40
             16        367029.016        29678835.390        29678831.210        39
             27        367029.016        29836077.254        29836104.993        38
            156        367029.016        40536545.409        40536575.520        48
             39        367029.016        26976767.913        26976781.173        47
            150        367029.016        41766241.739        41766251.563        45
             38        367029.016        30787566.243        30787569.014        33
             23        367029.016        29832782.655        29832781.604        40
              1        367030.016        24990216.905        24990226.490        51
              7        367030.016        24884160.904        24884179.380        49
             30        367030.016        26096392.681        26096390.196        49
             11        367030.016        24968335.987        24968345.441        48
              8        367030.016        27313335.647        27313341.537        46
             28        367030.016        28949437.185        28949459.157        42
             17        367030.016        28981646.745        28981662.788        42
             22        367030.016        28522916.300        28522944.224        41
              9        367030.016        29190055.981        29190055.999        41
              3        367030.016        29362011.958        29362015.738        40
             16        367030.016        29697487.829        29697483.591        39
             27        367030.016        29854849.227        29854876.247        38
            156        367030.016        40554866.903        40554897.001        48
             39        367030.016        26995018.265        26995031.531        47
            150        367030.016        41784532.740        41784542.482        45
             38        367030.016        30805472.089        30805474.866        33
             23        367030.016        29851478.511        29851477.350        40
              1        367031.016        25008360.366        25008369.960        51
              7        367031.016        24902413.999        24902432.456        49
             30        367031.016        26114316.350        26114313.926        49
             11        367031.016        24986741.728        24986751.192        48
              8        367031.016        27332026.954        27332032.889        46
             28        367031.016        28967341.641        28967363.620        42
             17        367031.016        28999605.193        28999621.263        42
             22        367031.016        28540870.896        28540898.757        41
              9        367031.016        29208748.620        29208748.657        41
              3        367031.016        29379878.296        29379882.078        40
             16        367031.016        29716140.019        29716135.758        39
             27        367031.016        29873620.341        29873647.171        38
            156        367031.016        40573188.179        40573218.258        48
             39        367031.016        27013268.401        27013281.684        47
            150        367031.016        41802823.423        41802833.133        45
             38        367031.016        30823377.670        30823380.499        33
             23        367031.016        29870173.983        29870172.782        40
              1        367032.016        25026504.202        25026513.790        51
              7        367032.016        24920667.438        24920685.892        49
             30        367032.016        26132240.384        26132237.989        49
             11        367032.016        25005147.817        25005157.283        48
              8        367032.016        27350718.516        27350724.468        46
             28        367032.016        28985246.268        28985268.277        42
             17        367032.016        29017563.937        29017580.007        42
             22        367032.016        28558825.727        28558853.531        41
              9        367032.016        29227441.457        29227441.517        41
              3        367032.016        29397744.819        29397748.621        40
             16        367032.016        29734792.452        29734788.177        39
