   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
             27        367493.003        26088890.734        26088878.578        41
              1        367494.003        20968630.023        20968616.003        52
              7        367494.003        20913701.610        20913686.403        50
             30        367494.003        21970037.143        21970030.346        50
             11        367494.003        21066322.505        21066305.798        50
              8        367494.003        23531880.262        23531861.873        48
             22        367494.003        24401038.207        24401040.300         0
             17        367494.003        24865184.060        24865175.092        44
             28        367494.003        24800264.901        24800255.629        43
              9        367494.003        25406264.184        25406258.492        42
              3        367494.003        25194518.114        25194503.785        41
             16        367494.003        25901473.053        25901464.899        38
            157        367494.003        37137470.917        37137489.174        45
            150        367494.003        37817492.377        37817497.215        44
            151        367494.003        38233269.923        38233278.934        42
            153        367494.003        39175708.590        39175729.386        41
            154        367494.003        39894731.250        39894738.676        40
            155        367494.003        41682201.710        41682211.138        36
             27        367494.003        26107653.284        26107641.085        41
              1        367495.003        20986837.264        20986823.369        52
              7        367495.003        20932019.710        20932004.497        50
             30        367495.003        21988013.060        21988006.283        50
             11        367495.003        21084782.489        21084765.797        50
              8        367495.003        23550574.260        23550555.906        48
             22        367495.003        24418993.180        24418991.468         0
             17        367495.003        24883167.150        24883158.172        44
             28        367495.003        24818161.190        24818151.895        44
              9        367495.003        25424946.433        25424940.804        42
              3        367495.003        25212374.040        25212359.709        41
             16        367495.003        25920143.942        25920135.810        38
            157        367495.003        37155868.401        37155886.662        45
            150        367495.003        37835786.014        37835792.351        44
            151        367495.003        38251560.680        38251566.825        42
            153        367495.003        39194001.169        39194021.332        41
            154        367495.003        39913014.652        39913024.253        40
            155        367495.003        41700390.673        41700400.179        36
             27        367495.003        26126415.482        26126403.220        41
              1        367496.003        21005043.761        21005031.393        52
              7        367496.003        20950338.237        20950323.027        50
             30        367496.003        22005989.401        22005982.628        50
             11        367496.003        21103242.913        21103226.217        50
              8        367496.003        23569268.609        23569250.247        48
             17        367496.003        24901150.593        24901141.614        44
             28        367496.003        24836057.777        24836048.462        44
              9        367496.003        25443628.262        25443623.315        42
              3        367496.003        25230230.283        25230215.947        41
             16        367496.003        25938812.772        25938806.873        38
            157        367496.003        37174266.226        37174284.488        45
            150        367496.003        37854082.622        37854088.191        44
            151        367496.003        38269844.974        38269854.863        42
            153        367496.003        39212295.951        39212313.810        41
            154        367496.003        39931303.403        39931309.451        39
            155        367496.003        41718579.917        41718589.518        36
             27        367496.003        26145177.862        26145165.657        41
             22        367496.003        24436961.286        24436961.286         0
              1        367497.003        21023253.402        21023239.321        52
              7        367497.003        20968656.849        20968641.646        50
             30        367497.003        22023965.788        22023959.037        50
             11        367497.003        21121703.389        21121686.693        50
              8        367497.003        23587962.949        23587944.533        48
             17        367497.003        24919134.022        24919125.055        44
             28        367497.003        24853954.270        24853944.953        44
              9        367497.003        25462312.401        25462305.551        42
             22        367497.003        24454928.797        24454925.943        39
              3        367497.003        25248086.441        25248072.099        41
             16        367497.003        25957485.833        25957477.937        38
            157        367497.003        37192664.002        37192682.274        45
            150        367497.003        37872378.194        37872383.571        44
            151        367497.003        38288134.754        38288142.819        42
            153        367497.003        39230583.621        39230605.897        41
            154        367497.003        39949587.002        39949595.260        39
            155        367497.003        41736769.294        41736778.607        36
             27        367497.003        26163940.217        26163928.011        41
              1        367498.003        21041461.372        21041447.577        52
              7        367498.003        20986975.611        20986960.421        50
             30        367498.003        22041942.327        22041935.579        50
             11        367498.003        21140164.003        21140147.303        50
              8        367498.003        23606657.261        23606638.844        48
             22        367498.003        24472896.206        24472901.344         0
             17        367498.003        24937117.521        24937108.556        44
             28        367498.003        24871850.751        24871841.439        44
              9        367498.003        25480996.066        25480988.359        42
              3        367498.003        25265942.580        25265928.245        41
             16        367498.003        25976156.409        25976149.224        38
            157        367498.003        37211061.813        37211080.092        45
            150        367498.003        37890674.310        37890679.005        44
            151        367498.003        38306422.094        38306430.928        42
            153        367498.003        39248877.644        39248898.081        41
            154        367498.003        39967874.047        39967881.248        40
            155        367498.003        41754958.094        41754967.850        36
             27        367498.003        26182702.636        26182690.359        42
              1        367499.003        21059669.262        21059655.435        52
              7        367499.003        21005294.169        21005278.981        51
             30        367499.003        22059918.629        22059911.876        50
             11        367499.003        21158624.392        21158607.670        50
              8        367499.003        23625351.246        23625332.799        48
             22        367499.003        24490856.421        24490844.433         0
             17        367499.003        24955100.725        24955091.757        44
             28        367499.003        24889746.854        24889737.550        44
              9        367499.003        25499677.612        25499670.490        42
              3        367499.003        25283798.357        25283784.022        41
             16        367499.003        25994827.615        25994820.220        38
            157        367499.003        37229459.294        37229477.572        45
            150        367499.003        37908968.909        37908974.084        44
            151        367499.003        38324711.551        38324718.771        42
            153        367499.003        39267169.737        39267189.974        41
            154        367499.003        39986161.046        39986166.852        40
            155        367499.003        41773146.499        41773156.714        36
             27        367499.003        26201464.681        26201452.337        42
              1        367500.003        21077878.547        21077864.656        52
              7        367500.003        21023614.103        21023598.911        51
             30        367500.003        22077896.269        22077889.530        50
             11        367500.003        21177086.097        21177069.377        50
              8        367500.003        23644046.447        23644027.986        48
             17        367500.003        24973085.214        24973076.239        44
             28        367500.003        24907644.177        24907634.875        44
             22        367500.003        24508811.829        24508796.035         0
              9        367500.003        25518361.201        25518353.826        42
              3        367500.003        25301655.314        25301640.999        41
             16        367500.003        26013500.748        26013492.467        38
            157        367500.003        37247858.014        37247876.298        45
            150        367500.003        37927266.776        37927270.425        45
            151        367500.003        38342997.875        38343008.052        42
            153        367500.003        39285463.672        39285483.259        41
            154        367500.003        40004447.765        40004453.910        40
            155        367500.003        41791336.738        41791346.779        35
             27        367500.003        26220227.887        26220215.515        42
              1        367501.003        21096086.633        21096072.769        52
              7        367501.003        21041932.916        21041917.740        51
             30        367501.003        22095872.783        22095866.048        50
             11        367501.003        21195546.656        21195529.959        50
              8        367501.003        23662740.403        23662721.943        48
             22        367501.003        24526782.032        24526776.895         0
             17        367501.003        24991068.523        24991059.537        44
             28        367501.003        24925540.255        24925530.949        44
              9        367501.003        25537043.023        25537035.889        42
              3        367501.003        25319511.001        25319496.729        41
             16        367501.003        26032172.244        26032163.520        38
            157        367501.003        37266255.526        37266273.808        45
            150        367501.003        37945560.050        37945565.486        44
            151        367501.003        38361286.980        38361296.575        42
            153        367501.003        39303754.107        39303775.800        41
            154        367501.003        40022733.019        40022739.998        40
            155        367501.003        41809525.488        41809535.582        35
             27        367501.003        26238989.827        26238977.440        42
              1        367502.003        21114295.128        21114281.356        52
              7        367502.003        21060252.206        21060237.044        51
             30        367502.003        22113849.771        22113843.009        50
             11        367502.003        21214007.688        21213990.991        50
              8        367502.003        23681434.711        23681416.240        48
             22        367502.003        24544753.914        24544755.246         0
             17        367502.003        25009052.213        25009043.219        44
             28        367502.003        24943436.643        24943427.334        44
              9        367502.003        25555725.209        25555718.262        42
              3        367502.003        25337366.987        25337352.765        41
             16        367502.003        26050843.697        26050834.958        38
            157        367502.003        37284653.388        37284671.671        45
            150        367502.003        37963854.731        37963860.918        45
            151        367502.003        38379574.877        38379584.767        42
            153        367502.003        39322048.838        39322068.041        41
            154        367502.003        40041018.075        40041025.949        40
            155        367502.003        41827714.541        41827724.707        35
             27        367502.003        26257752.093        26257739.674        42
              1        367503.003        21132503.965        21132490.172        52
              7        367503.003        21078571.713        21078556.574        51
             30        367503.003        22131827.247        22131820.188        50
             11        367503.003        21232468.903        21232452.225        50
              8        367503.003        23700129.117        23700110.625        48
             22        367503.003        24562721.217        24562724.643         0
             17        367503.003        25027036.043        25027027.037        44
             28        367503.003        24961333.104        24961323.791        44
              9        367503.003        25574407.399        25574400.697        42
              3        367503.003        25355223.094        25355208.878        41
             16        367503.003        26069515.465        26069506.500        38
            157        367503.003        37303051.351        37303069.642        45
            150        367503.003        37982150.956        37982156.444        45
            151        367503.003        38397865.390        38397873.071        42
            153        367503.003        39340338.713        39340360.408        41
            154        367503.003        40059304.626        40059311.923        40
            155        367503.003        41845903.494        41845913.879        35
             27        367503.003        26276514.402        26276501.981        42
              1        367504.003        21150712.851        21150699.057        52
              7        367504.003        21096891.308        21096876.175        51
             30        367504.003        22149804.650        22149797.414        50
             11        367504.003        21250930.184        21250913.505        50
              8        367504.003        23718823.458        23718804.948        48
             22        367504.003        24580668.007        24580647.266         0
             17        367504.003        25045019.861        25045010.842        44
             28        367504.003        24979229.480        24979220.165        44
              9        367504.003        25593089.590        25593083.044        42
              3        367504.003        25373079.127        25373064.902        41
             16        367504.003        26088187.114        26088178.046        38
            157        367504.003        37321449.274        37321467.564        45
            150        367504.003        38000446.379        38000451.926        45
            151        367504.003        38416152.195        38416161.303        42
            153        367504.003        39358632.580        39358652.701        41
            154        367504.003        40077590.567        40077597.929        40
            155        367504.003        41864092.507        41864102.961        35
             27        367504.003        26295276.602        26295264.198        42
              1        367505.003        21168921.932        21168908.229        52
              7        367505.003        21115211.194        21115196.067        51
             30        367505.003        22167782.197        22167774.902        50
             11        367505.003        21269391.706        21269375.048        50
              8        367505.003        23737517.941        23737499.419        48
             22        367505.003        24598634.744        24598614.954         0
             17        367505.003        25063003.883        25062994.849        44
             28        367505.003        24997125.983        24997116.668        44
              9        367505.003        25611771.913        25611765.511        42
              3        367505.003        25390935.213        25390921.057        41
             16        367505.003        26106858.991        26106849.773        38
            157        367505.003        37339847.365        37339865.655        45
            150        367505.003        38018742.095        38018747.549        44
            151        367505.003        38434440.533        38434449.692        42
            153        367505.003        39376924.262        39376945.149        41
            154        367505.003        40095876.913        40095884.090        40
            155        367505.003        41882281.717        41882292.160        35
             27        367505.003        26314038.914        26314026.548        42
              1        367506.003        21187130.495        21187116.876        52
              7        367506.003        21133530.548        21133515.435        51
             30        367506.003        22185759.261        22185751.840        50
             11        367506.003        21287852.697        21287836.044        50
              8        367506.003        23756211.755        23756193.236        48
             22        367506.003        24616612.068        24616612.638         0
             17        367506.003        25080987.284        25080978.242        44
             28        367506.003        25015021.806        25015012.493        44
              9        367506.003        25630453.549        25630447.284        42
              3        367506.003        25408790.584        25408776.527        41
             16        367506.003        26125530.161        26125520.867        38
            157        367506.003        37358244.808        37358263.100        45
            150        367506.003        38037037.078        38037042.517        44
            151        367506.003        38452728.180        38452737.431        42
            153        367506.003        39395215.959        39395236.950        41
            154        367506.003        40114162.697        40114169.590        40
            155        367506.003        41900470.241        41900480.685        35
             27        367506.003        26332800.576        26332788.210        42
              1        367507.003        21205339.574        21205326.016        52
              7        367507.003        21151850.400        21151835.296        51
             30        367507.003        22203736.746        22203729.249        50
             11        367507.003        21306314.171        21306297.504        50
              8        367507.003        23774905.922        23774887.405        48
             22        367507.003        24634578.616        24634579.757         0
             17        367507.003        25098971.085        25098962.036        44
             28        367507.003        25032917.962        25032908.647        44
              9        367507.003        25649135.559        25649129.387        42
              3        367507.003        25426646.330        25426632.331        41
             16        367507.003        26144201.783        26144192.364        38
            157        367507.003        37376642.618        37376660.915        45
            150        367507.003        38055332.401        38055337.856        44
            151        367507.003        38471016.319        38471025.534        42
            153        367507.003        39413507.872        39413529.113        41
            154        367507.003        40132448.646        40132455.462        40
            155        367507.003        41918659.090        41918669.528        35
             27        367507.003        26351562.572        26351550.203        42
              1        367508.003        21223549.077        21223535.450        52
              7        367508.003        21170170.540        21170155.454        50
             30        367508.003        22221714.406        22221706.931        50
             11        367508.003        21324775.896        21324759.236        50
              8        367508.003        23793600.240        23793581.733        48
             17        367508.003        25116955.099        25116946.041        44
             28        367508.003        25050814.260        25050804.943        44
              9        367508.003        25667817.802        25667811.617        42
              3        367508.003        25444502.241        25444488.278        41
             16        367508.003        26162873.529        26162864.048        38
            157        367508.003        37395040.608        37395058.908        45
            150        367508.003        38073627.886        38073633.362        44
            151        367508.003        38489304.543        38489313.807        42
            153        367508.003        39431800.016        39431821.435        41
            154        367508.003        40150734.624        40150741.491        40
            155        367508.003        41936848.080        41936858.506        35
             27        367508.003        26370324.704        26370312.338        42
             22        367508.003        24652562.885        24652562.885         0
              1        367509.004        21241758.895        21241745.260        52
              7        367509.004        21188491.062        21188475.989        50
             30        367509.004        22239692.474        22239684.969        50
             11        367509.004        21343237.969        21343221.321        50
              8        367509.004        23812294.807        23812276.300        48
             17        367509.004        25134939.395        25134930.339        44
             28        367509.004        25068710.795        25068701.467        44
              9        367509.004        25686500.407        25686494.062        42
             22        367509.004        24670507.039        24670527.970        39
              3        367509.004        25462358.378        25462344.438        41
             16        367509.004        26181545.566        26181536.020        38
            157        367509.004        37413438.848        37413457.150        45
            150        367509.004        38091923.602        38091929.104        44
            151        367509.004        38507592.985        38507602.313        42
            153        367509.004        39450092.531        39450114.019        41
            154        367509.004        40169021.058        40169027.772        40
            155        367509.004        41955037.317        41955047.688        35
             27        367509.004        26389087.028        26389074.686        42
              1        367510.004        21259968.233        21259954.702        52
              7        367510.004        21206811.232        21206796.164        50
             30        367510.004        22257670.101        22257662.612        50
             11        367510.004        21361699.659        21361683.017        50
              8        367510.004        23830988.890        23830970.374        48
             17        367510.004        25152923.236        25152914.183        44
             28        367510.004        25086606.799        25086597.466        44
              9        367510.004        25705182.423        25705175.974        42
              3        367510.004        25480214.016        25480200.077        41
             16        367510.004        26200217.101        26200207.529        38
            157        367510.004        37431836.616        37431854.921        45
            150        367510.004        38110218.857        38110224.362        44
            151        367510.004        38525881.072        38525890.336        42
            153        367510.004        39468384.675        39468406.093        41
            154        367510.004        40187306.918        40187313.558        40
            155        367510.004        41973225.928        41973236.355        35
             27        367510.004        26407848.840        26407836.513        42
             22        367510.004        24688470.312        24688470.312         0
              1        367511.004        21278178.070        21278164.574        52
              7        367511.004        21225131.824        21225116.764        51
             30        367511.004        22275648.174        22275640.663        50
             11        367511.004        21380161.745        21380145.116        50
              8        367511.004        23849683.279        23849664.737        48
             17        367511.004        25170907.424        25170898.369        44
             28        367511.004        25104503.069        25104493.735        44
             22        367511.004        24706435.348        24706435.348        39
              9        367511.004        25723864.685        25723858.152        42
              3        367511.004        25498069.907        25498055.993        41
             16        367511.004        26218888.947        26218879.368        38
            157        367511.004        37450234.684        37450252.994        45
            150        367511.004        38128514.435        38128519.916        44
            151        367511.004        38544169.419        38544178.657        42
            153        367511.004        39486677.031        39486698.471        41
            154        367511.004        40205592.920        40205599.633        40
            155        367511.004        41991414.846        41991425.268        35
             27        367511.004        26426610.946        26426598.606        42
              1        367512.004        21296388.086        21296374.629        52
              7        367512.004        21243452.607        21243437.551        50
             30        367512.004        22293626.392        22293618.874        50
             11        367512.004        21398624.012        21398607.371        50
              8        367512.004        23868377.731        23868359.149        48
             17        367512.004        25188891.713        25188882.651        44
             28        367512.004        25122399.358        25122390.030        44
              9        367512.004        25742546.878        25742540.344        42
              3        367512.004        25515925.829        25515911.927        41
             16        367512.004        26237560.871        26237551.288        38
            157        367512.004        37468632.819        37468651.128        45
